iter	Passed	Remaining
0	64	64164
1	122	60888
2	186	61880
3	251	62577
4	284	56524
5	376	62321
6	469	66628
7	521	64692
8	598	65921
9	661	65485
10	740	66615
11	782	64440
12	832	63240
13	850	59909
14	883	58010
15	937	57685
16	983	56884
17	1035	56467
18	1092	56406
19	1122	54986
20	1165	54352
21	1193	53040
22	1254	53289
23	1299	52828
24	1355	52858
25	1386	51939
26	1412	50916
27	1475	51216
28	1520	50909
29	1571	50798
30	1621	50671
31	1693	51236
32	1753	51390
33	1792	50940
34	1835	50597
35	1869	50068
36	1917	49905
37	1968	49832
38	2015	49651
39	2062	49500
40	2114	49454
41	2148	48995
42	2200	48982
43	2254	48992
44	2278	48360
45	2338	48492
46	2385	48373
47	2451	48626
48	2502	48565
49	2557	48587
50	2600	48396
51	2656	48435
52	2696	48176
53	2778	48673
54	2856	49075
55	2927	49348
56	2965	49056
57	3038	49349
58	3096	49378
59	3153	49397
60	3215	49491
61	3283	49669
62	3327	49488
63	3390	49582
64	3445	49566
65	3490	49402
66	3526	49101
67	3569	48926
68	3636	49063
69	3684	48950
70	3755	49141
71	3792	48881
72	3852	48921
73	3882	48588
74	3921	48370
75	3984	48440
76	4034	48361
77	4101	48479
78	4158	48486
79	4195	48253
80	4248	48197
81	4301	48158
82	4338	47935
83	4382	47790
84	4404	47417
85	4456	47364
86	4500	47230
87	4558	47246
88	4583	46915
89	4637	46891
90	4703	46980
91	4762	47000
92	4790	46718
93	4839	46645
94	4895	46635
95	4922	46353
96	4984	46400
97	5004	46060
98	5056	46021
99	5100	45908
100	5146	45806
101	5185	45652
102	5235	45597
103	5270	45411
104	5346	45573
105	5399	45542
106	5451	45492
107	5495	45390
108	5531	45219
109	5575	45110
110	5627	45071
111	5669	44949
112	5729	44970
113	5770	44844
114	5807	44695
115	5853	44609
116	5897	44509
117	5948	44459
118	5994	44379
119	6042	44309
120	6097	44296
121	6156	44305
122	6204	44239
123	6253	44176
124	6297	44084
125	6317	43818
126	6339	43577
127	6383	43485
128	6428	43407
129	6467	43285
130	6527	43303
131	6574	43230
132	6621	43164
133	6658	43030
134	6706	42969
135	6752	42897
136	6804	42860
137	6860	42852
138	6907	42788
139	6951	42700
140	6989	42580
141	7026	42457
142	7052	42267
143	7081	42094
144	7135	42073
145	7151	41830
146	7208	41826
147	7265	41827
148	7302	41707
149	7356	41686
150	7394	41576
151	7412	41353
152	7463	41319
153	7498	41190
154	7556	41197
155	7573	40976
156	7608	40853
157	7638	40708
158	7705	40754
159	7757	40726
160	7809	40695
161	7833	40522
162	7895	40543
163	7945	40501
164	7971	40341
165	7994	40164
166	8025	40031
167	8084	40035
168	8139	40023
169	8202	40046
170	8246	39977
171	8296	39938
172	8358	39954
173	8398	39868
174	8427	39728
175	8490	39751
176	8569	39843
177	8643	39915
178	8724	40016
179	8818	40172
180	8871	40143
181	8957	40257
182	9013	40239
183	9078	40259
	9162	40362
185	9200	40264
186	9229	40124
187	9253	39965
188	9276	39807
189	9324	39751
190	9348	39597
191	9386	39501
192	9441	39477
193	9488	39423
194	9522	39311
195	9568	39250
196	9626	39241
197	9668	39162
198	9723	39137
199	9744	38978
200	9805	38979
201	9850	38914
202	9894	38845
203	9941	38792
204	9958	38619
205	9991	38510
206	10022	38396
207	10048	38262
208	10086	38176
209	10141	38150
210	10165	38010
211	10208	37944
212	10241	37840
213	10293	37807
214	10321	37684
215	10396	37733
216	10421	37602
217	10485	37612
218	10544	37603
219	10599	37578
220	10659	37573
221	10732	37611
222	10833	37747
223	10919	37827
224	10964	37767
225	11039	37807
226	11084	37745
227	11162	37795
228	11195	37693
229	11269	37726
230	11308	37647
231	11375	37655
9	33880
234	10399	33853
235	10445	33815
236	10500	33804
237	10555	33794
238	10610	33786
239	10634	33677
240	10682	33644
241	10733	33620
242	10765	33537
243	10813	33505
244	10865	33482
245	10918	33466
246	11000	33536
247	11034	33460
248	11101	33484
249	11153	33460
250	11215	33468
251	11240	33365
252	11273	33286
253	11329	33275
254	11390	33276
255	11437	33240
256	11510	33278
257	11538	33185
258	11595	33173
259	11709	33328
260	11786	33373
261	11834	33334
2	29808
264	10733	29769
265	10763	29700
266	10818	29700
267	10865	29678
268	10892	29601
269	10952	29611
270	11013	29627
271	11060	29603
272	11081	29511
273	11133	29500
274	11159	29419
275	11203	29388
276	11226	29302
277	11283	29305
278	11311	29230
279	11334	29145
280	11361	29071
281	11389	28997
282	11443	28992
283	11486	28958
284	11540	28951
285	11575	28897
286	11591	28797
287	11634	28764
288	11667	28705
289	11708	28665
290	11740	28604
291	11763	28521
292	11817	28515
293	11851	28459
294	11899	28437
295	11921	28352
296	11973	28340
297	12009	28289
298	12039	28227
299	12068	28158
300	12121	28148
301	12149	28079
302	12212	28092
303	12244	28033
304	12289	28004
305	12341	27990
306	12366	27915
307	12402	27865
308	12433	27804
309	12480	27778
310	12526	27751
311	12564	27706
312	12580	27613
313	12599	27526
314	12634	27475
315	12675	27436
316	12701	27366
317	12761	27368
318	12782	27287
319	12820	27244
320	12837	27154
321	12856	27071
322	12910	27059
323	12936	26990
324	12987	26974
325	13029	26938
326	13050	26859
327	13077	26792
328	13107	26732
329	13152	26704
330	13193	26665
331	13250	26660
332	13292	26625
333	13322	26565
334	13369	26538
335	13422	26525
336	13493	26547
337	13548	26536
338	13604	26527
339	13699	26592
340	13731	26537
341	13795	26542
342	13838	26507
343	13897	26502
344	13950	26485
345	14032	26523
346	14064	26467
347	14152	26515
13922	25970
349	13947	25903
350	14015	25915
351	14089	25937
352	14115	25872
353	14165	25849
354	14206	25811
355	14258	25792
356	14302	25760
357	14338	25713
358	14380	25677
569	26014
359	14649	26043
360	14670	25968
361	14701	25909
362	14761	25904
363	14852	25951
364	14880	25888
365	14915	25837
366	14951	25788
968
372	11854	19927
373	11874	19875
374	11897	19828
375	11935	19808
376	11963	19769
377	12019	19777
378	12051	19746
379	12085	19718
380	12117	19686
381	12161	19674
382	12182	19625
383	12209	19586
384	12234	19543
385	12276	19528
386	12320	19514
387	12372	19515
388	12458	19568
389	12559	19644
507
387	14870	23454
388	14909	23417
389	14948	23381
390	14978	23329
391	15018	23293
392	15070	23276
393	15124	23262
394	15158	23217
395	15195	23177
396	15227	23129
397	15273	23102
398	15317	23071
399	15352	23029
400	15391	22990
401	15424	22944
402	15461	22904
403	15489	22850
404	15536	22825
405	15589	22808
406	15644	22794
407	15689	22765
408	15740	22744
409	15776	22702
410	15811	22659
411	15856	22630
412	15894	22591
413	15937	22559
414	15985	22534
415	16025	22496
416	16060	22454
417	16099	22416
418	16144	22386
419	16187	22353
420	16214	22299
421	16246	22251
422	16309	22246
423	16424	22312
14989	20196
426	15020	20156
427	15061	20129
428	15102	20101
429	15150	20083
430	15196	20062
431	15230	20025
432	15280	20009
433	15316	19974
434	15362	19952
435	15392	19911
436	15463	19921
437	15529	19925
438	15585	19916
439	15626	19887
440	15669	19862
14586	18339
443	14635	18327
444	14660	18284
445	14693	18251
446	14718	18209
447	14743	18165
448	14798	18160
449	14840	18138
450	14873	18105
451	14915	18083
452	14955	18059
453	14990	18028
454	15020	17991
455	15063	17970
456	15103	17945
457	15135	17910
14871	17527
459	14914	17508
460	14953	17483
461	14996	17463
462	15040	17444
463	15079	17419
464	15099	17372
465	15142	17352
466	15194	17341
4	16795
468	14801	16757
469	14840	16735
470	14866	16697
471	14903	16671
472	14935	16640
473	14966	16608
474	15002	16581
475	15053	16571
476	15082	16537
477	15109	16499
478	15127	16453
479	15142	16403

9
484	13244	14063
485	13270	14035
486	13293	14003
487	13331	13987
488	13361	13962
489	13406	13953
490	13430	13923
491	13479	13918
492	13512	13896
493	13544	13873
494	13579	13854
495	13611	13831
496	13649	13814
497	13689	13799
498	13720	13775
499	13751	13751
500	13777	13722
501	13806	13696
502	13914	13748
503	13934	13713
504	13979	13702
505	14002	13670
506	14025	13637
507	14057	13614
44	12100
511	12666	12072
512	12686	12043
513	12704	12012
514	12726	11985
515	12751	11960
516	12779	11938
517	12810	11920
518	12830	11891
519	12854	11865
520	12892	11853
521	12917	11828
522	12942	11803
523	12977	11789
524	13002	11764
525	13028	11740
526	13048	11711
527	13070	11684
528	13087	11652
529	13100	11617
530	13117	11585
531	13138	11557
532	13161	11531
533	13186	11507
534	13214	11485
535	13239	11461
536	13268	11440
537	13286	11409
538	13326	11398
539	13349	11372
540	13375	11347
541	13419	11339
542	13442	11313
543	13459	11282
544	13488	11260
545	13508	11232
546	13539	11212
547	13567	11190
548	13594	11167
549	13627	11149
550	13662	11133
551	13680	11103
552	13708	11081
553	13735	11057
554	13753	11027
555	13772	10998
556	13787	10965
557	13801	10932
558	13818	10901
2878
555	16091	12850
556	16136	12833
557	16159	12800
558	16198	12779
559	16226	12749
560	16244	12712
561	16275	12684
562	16312	12661
563	16345	12636
564	16372	12605
565	16394	12571
566	16417	12537
567	16443	12506
568	16465	12471
569	16499	12447
570	16548	12433
571	16581	12406
572	16608	12376
573	16647	12355
574	16672	12323
575	16691	12286
576	16729	12264
577	16778	12249
578	16800	12216
579	16835	12190
580	16884	12176
581	16921	12153
582	16960	12131
583	17032	12133
584	17096	12128
585	17169	12129
586	17239	12129
587	17264	12096
588	17306	12076
589	17332	12044
590	17370	12021
591	17405	11995
592	17455	11980
593	17487	11952
17023	11587
595	17053	11559
596	17087	11534
597	17105	11499
598	17126	11465
599	17146	11431
600	17181	11406
601	17212	11379
602	17229	11343
603	17263	11318
604	17283	11284
605	17308	11253
606	17333	11222
607	17350	11186
608	17383	11160
609	17409	11130
610	17440	11103
611	17465	11072
612	17507	11052
613	17550	11033
614	17579	11004
615	17602	10972
616	17627	10942
617	17652	10911
618	17676	10879
619	17708	10853
620	17756	10836
621	17789	10810
622	17845	10799
623	17904	10788
624	17943	10765
625	18003	10756
626	18059	10743
627	18087	10714
628	18119	10687
629	18182	10678
630	18221	10655
631	18267	10636
632	18301	10611
633	18334	10584
156	10436
635	18205	10419
052
642	16259	9027
643	16284	9002
644	16306	8974
645	16329	8948
646	16357	8924
647	16394	8905
648	16420	8880
649	16439	8852
650	16473	8831
651	16494	8804
652	16512	8774
653	16545	8753
654	16574	8730
